Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.1uF,
C2,0805,1,0.1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,20,1N4148,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Boot,
"P1, P2",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,2,GT-USB-7010ASV,
R1,0805,1,5.1k,
R2,0805,1,5.1k,
R3,0805,1,5.1k,
R4,0805,1,5.1k,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
"SW10, SW10_r1, SW11, SW11_r1, SW12, SW12_r1, SW13_r1, SW14, SW14_r1, SW15, SW15_r1, SW16, SW16_r1, SW17, SW17_r1, SW18, SW18_r1, SW2, SW20, SW21, SW2_r1, SW3, SW3_r1, SW4, SW4_r1, SW5, SW5_r1, SW6, SW6_r1, SW7_r1, SW8, SW8_r1, SW9, SW9_r1",SW_Cherry_MX_1.00u_PCB,34,SW_Push,
U1,CH552G,1,CH552G,
