Designator,Mid X,Mid Y,Rotation,Layer
C1,130.425,-91.45,180.0,top
D1,50.8,-73.025,180.0,top
D10,107.95,-59.69,180.0,top
D11,107.95,-78.74,180.0,top
D12,107.95,-97.79,180.0,top
D13,107.95,-115.57,180.0,top
D14,126.365,-62.23,180.0,top
D15,126.365,-80.645,180.0,top
D16,127.0,-100.33,180.0,top
D17,127.0,-117.475,180.0,top
D2,50.8,-91.44,180.0,top
D3,50.72,-110.49,180.0,top
D4,69.8,-61.395,180.0,top
D5,69.85,-80.645,180.0,top
D6,69.85,-99.695,180.0,top
D7,88.9,-55.245,180.0,top
D8,88.9,-74.295,180.0,top
D9,88.9,-93.345,180.0,top
J1,137.1,-109.855,180.0,top
P1,137.795,-85.725,180.0,top
RSW1,137.16,-120.65,0.0,top
SW10,83.0,-77.878,0.0,top
SW10_r1,96.92,-82.45,180.0,bottom
SW11,102.0,-82.45,0.0,top
SW11_r1,115.9,-84.99,180.0,bottom
SW12,120.98,-84.99,0.0,top
SW12_r1,40.005,-114.935,180.0,bottom
SW13_r1,58.928,-103.124,180.0,bottom
SW14,45.0,-115.0,0.0,top
SW14_r1,77.92,-96.896,180.0,bottom
SW15,64.008,-103.124,0.0,top
SW15_r1,97.0277,-101.5853,180.0,bottom
SW16,83.0,-96.896,0.0,top
SW16_r1,116.205,-104.008,180.0,bottom
SW17,102.0982,-101.6042,0.0,top
SW17_r1,126.5506,-129.964,150.0,bottom
SW18,121.285,-104.008,0.0,top
SW18_r1,106.3651,-122.9732,165.0,bottom
SW2,45.0,-77.0,0.0,top
SW20,130.95,-132.504,330.0,top
SW21,111.272,-124.288,345.0,top
SW2_r1,39.92,-77.0,180.0,bottom
SW3,64.0,-65.0,0.0,top
SW3_r1,58.92,-65.0,180.0,bottom
SW4,83.0,-58.86,0.0,top
SW4_r1,77.92,-58.86,180.0,bottom
SW5,101.994,-63.432,0.0,top
SW5_r1,96.914,-63.432,180.0,bottom
SW6,121.0,-66.0,0.0,top
SW6_r1,115.92,-66.0,180.0,bottom
SW7_r1,39.92,-96.0,180.0,bottom
SW8,45.0,-96.0,0.0,top
SW8_r1,58.92,-84.074,180.0,bottom
SW9,64.0,-84.074,0.0,top
SW9_r1,77.92,-77.878,180.0,bottom
U1,137.795,-97.155,0.0,top
